ステーション名,住所,クラス,車種,コメント
タイムズ下谷本町,神奈川県横浜市青葉区下谷本町45,ミドル,C-HR（ハイブリッド）,
タイムズ市ケ尾町第７,神奈川県横浜市青葉区市ケ尾町20,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ市ヶ尾町,神奈川県横浜市青葉区市ケ尾町1075,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年） ジュニアシートなし
タイムズ市ヶ尾町,神奈川県横浜市青葉区市ケ尾町1075,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ市ヶ尾町第２,神奈川県横浜市青葉区市ケ尾町1485,ベーシック,ハスラー,
タイムズ市ヶ尾町第２,神奈川県横浜市青葉区市ケ尾町1485,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年）
タイムズ市ヶ尾町第２,神奈川県横浜市青葉区市ケ尾町1485,ベーシック,スイフト,
タイムズ市ヶ尾町第２,神奈川県横浜市青葉区市ケ尾町1485,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ市ヶ尾町第２,神奈川県横浜市青葉区市ケ尾町1485,ベーシック,ヤリスクロス（ハイブリッド）,
タイムズ市ヶ尾町第２,神奈川県横浜市青葉区市ケ尾町1485,プレミアム,ノア（ハイブリッド）,車両のトラブル、事故、無断延長などでご利用いただけない場合、同一車種での代替車両がご提供できません。あらかじめご了承ください。
タイムズ市ヶ尾町第３,神奈川県横浜市青葉区市ケ尾町536,ベーシック,ノート e-POWER,ジュニアシートなし
タイムズ市ヶ尾町第３,神奈川県横浜市青葉区市ケ尾町536,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ市ヶ尾町第３,神奈川県横浜市青葉区市ケ尾町536,ベーシック,ヤリスクロス（ハイブリッド）,
タイムズ市ヶ尾町第３,神奈川県横浜市青葉区市ケ尾町536,プレミアム,セレナ,車両のトラブル、事故、無断延長などでご利用いただけない場合、同一車種での代替車両がご提供できません。あらかじめご了承ください。ジュニアシートなし
タイムズ成城石井青葉台店第２（ゲート内）,神奈川県横浜市青葉区榎が丘26,ベーシック,フィット,ジュニアシートなし
タイムズ成城石井青葉台店第２（ゲート内）,神奈川県横浜市青葉区榎が丘26,ミドル,フリード,
タイムズ成城石井青葉台店第２（ゲート内）,神奈川県横浜市青葉区榎が丘26,ミドル,CX-30 2000（M-ハイブリッド）,
タイムズ成城石井青葉台店第２（ゲート外）,神奈川県横浜市青葉区榎が丘26-1,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ成城石井青葉台店第２（ゲート外）,神奈川県横浜市青葉区榎が丘26-1,ベーシック,ライズ,A200A型（2019年-2021年） ジュニアシートなし
タイムズ新石川１丁目,神奈川県横浜市青葉区新石川1-26,ベーシック,ノート e-POWER,ジュニアシートなし
タイムズ新石川１丁目,神奈川県横浜市青葉区新石川1-26,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年） ジュニアシートなし
タイムズ新石川１丁目,神奈川県横浜市青葉区新石川1-26,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ新石川１丁目,神奈川県横浜市青葉区新石川1-26,ミドル,シエンタ,NSP170G型/NCP175G型（2015年-2022年）
タイムズ新石川３丁目第２,神奈川県横浜市青葉区新石川3-25,ベーシック,MAZDA2,DJ型（2019年-2023年） ジュニアシートなし
タイムズ新石川３丁目第２,神奈川県横浜市青葉区新石川3-25,ベーシック,MAZDA3 5HB 1500,ジュニアシートなし
タイムズ新石川３丁目第３,神奈川県横浜市青葉区新石川3-10,ベーシック,ヤリス（ハイブリッド）,
タイムズ新石川３丁目第３,神奈川県横浜市青葉区新石川3-10,ベーシック,ヤリスクロス（ハイブリッド）,ジュニアシートなし
タイムズ柿の木台,神奈川県横浜市青葉区柿の木台18-8,ベーシック,ノート e-POWER,ジュニアシートなし
タイムズ柿の木台第２,神奈川県横浜市青葉区柿の木台4-1,ベーシック,フィット,
タイムズ横浜青葉台第１０,神奈川県横浜市青葉区青葉台2-18,ベーシック,フィット,ジュニアシートなし
タイムズ横浜青葉台第１０,神奈川県横浜市青葉区青葉台2-18,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年） ジュニアシートなし
タイムズ横浜青葉台第１０,神奈川県横浜市青葉区青葉台2-18,ミドル,シエンタ（ハイブリッド）,ジュニアシートなし
タイムズ横浜青葉台第９,神奈川県横浜市青葉区青葉台2-17,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ江田駅前第５,神奈川県横浜市青葉区荏田町2370,ベーシック,スイフト(ハイブリッド/1200cc),
タイムズ江田駅前第５,神奈川県横浜市青葉区荏田町2370,ミドル,シエンタ（ハイブリッド）,ジュニアシートなし
タイムズ江田駅前第５,神奈川県横浜市青葉区荏田町2370,ミドル,フリード,
タイムズ江田駅前第５,神奈川県横浜市青葉区荏田町2370,プレミアム,ノア（ハイブリッド）,車両のトラブル、事故、無断延長などでご利用いただけない場合、同一車種での代替車両がご提供できません。あらかじめご了承ください。ジュニアシートなし
タイムズ荏田北１丁目,神奈川県横浜市青葉区荏田北1-11,ベーシック,オーラ e-POWER,ジュニアシートなし
タイムズ荏田北１丁目,神奈川県横浜市青葉区荏田北1-11,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ藤が丘もえぎ野第３,神奈川県横浜市青葉区もえぎ野6-17,ベーシック,ノート e-POWER,
タイムズ藤が丘もえぎ野第４,神奈川県横浜市青葉区もえぎ野9,ベーシック,ヤリスクロス（ハイブリッド）,ジュニアシートなし
タイムズ藤が丘もえぎ野第４,神奈川県横浜市青葉区もえぎ野9,ベーシック,ライズ,A200A型（2019年-2021年） ジュニアシートなし
タイムズ藤が丘もえぎ野第６,神奈川県横浜市青葉区もえぎ野28,ベーシック,ハスラー,ジュニアシートなし
タイムズ藤が丘もえぎ野第６,神奈川県横浜市青葉区もえぎ野28,ベーシック,フィット,
タイムズ藤が丘もえぎ野第６,神奈川県横浜市青葉区もえぎ野28,ベーシック,フィット（ハイブリッド）,ジュニアシートなし
タイムズ藤が丘もえぎ野第７,神奈川県横浜市青葉区もえぎ野11,ベーシック,ハスラー,
タイムズ藤が丘もえぎ野第７,神奈川県横浜市青葉区もえぎ野11,ベーシック,ノート e-POWER,ジュニアシートなし
タイムズ藤が丘２丁目第２,神奈川県横浜市青葉区藤が丘2-41,ベーシック,ノート e-POWER,
タイムズ藤が丘２丁目第２,神奈川県横浜市青葉区藤が丘2-41,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ藤が丘２丁目第２,神奈川県横浜市青葉区藤が丘2-41,ベーシック,ヤリスクロス（ハイブリッド）,
タイムズ藤が丘２丁目第２,神奈川県横浜市青葉区藤が丘2-41,ベーシック,ライズ,A200A型（2019年-2021年）
タイムズ藤が丘２丁目第２,神奈川県横浜市青葉区藤が丘2-41,ミドル,フリード,
タイムズ青葉すみよし台,神奈川県横浜市青葉区すみよし台27,ベーシック,アクア（ハイブリッド）,
タイムズ青葉千草台,神奈川県横浜市青葉区千草台32,ベーシック,アクア（ハイブリッド）,NHP10型（2011年-2021年） ジュニアシートなし
タイムズ青葉千草台,神奈川県横浜市青葉区千草台32,ベーシック,ヤリス（ハイブリッド）,MXPH10型/MXPH15型（2021年-2023年）
タイムズ青葉千草台,神奈川県横浜市青葉区千草台32,ベーシック,MAZDA3 5HB 1500,ジュニアシートなし
タイムズ青葉桜台,神奈川県横浜市青葉区桜台32,ベーシック,ライズ（ハイブリッド）,
タイムズ青葉桜台,神奈川県横浜市青葉区桜台32,ミドル,フリード,
